[ 2013-12-18T16:10:03+08:00 ] /skybroad/index.php/Admin/Advert/edit/id/48/mid/11/cid/18010 | SQL: SELECT `modelname` FROM `m_modelconfig` WHERE id=11 LIMIT 1  [ RunTime:0.000233s ]
[ 2013-12-18T16:10:03+08:00 ] /skybroad/index.php/Admin/Advert/edit/id/48/mid/11/cid/18010 | SQL: SELECT * FROM `m_categorys` WHERE id=180 LIMIT 1  [ RunTime:0.000224s ]
[ 2013-12-18T16:10:03+08:00 ] /skybroad/index.php/Admin/Advert/edit/id/48/mid/11/cid/18010 | SQL: SELECT `id` FROM `m_categorys` WHERE fid=1 and model_id=11 LIMIT 1  [ RunTime:0.000213s ]
[ 2013-12-18T16:10:03+08:00 ] /skybroad/index.php/Admin/Advert/edit/id/48/mid/11/cid/18010 | SQL: SELECT * FROM `m_categorys` WHERE fid=180 ORDER BY id asc [ RunTime:0.000267s ]
[ 2013-12-18T16:10:03+08:00 ] /skybroad/index.php/Admin/Advert/edit/id/48/mid/11/cid/18010 | NOTIC: [8] Use of undefined constant __PUBLIC__ - assumed '__PUBLIC__' b0a2d25c6c4c906601fcdd2aa7313405.php 第 37 行.
[ 2013-12-18T16:10:03+08:00 ] /skybroad/index.php/Admin/Advert/edit/id/48/mid/11/cid/18010 | NOTIC: [8] Undefined index:  is_comment 729d018948168e2452d587085878daf1.php 第 12 行.
[ 2013-12-18T16:10:14+08:00 ] /skybroad/index.php/Admin/Advert/update | SQL: SHOW COLUMNS FROM `m_advert` [ RunTime:0.001343s ]
[ 2013-12-18T16:10:14+08:00 ] /skybroad/index.php/Admin/Advert/update | NOTIC: [8] Undefined index:  mid AdvertAction.class.php 第 13 行.
[ 2013-12-18T16:10:14+08:00 ] /skybroad/index.php/Admin/Advert/update | NOTIC: [8] Use of undefined constant uniqid - assumed 'uniqid' AdminAction.class.php 第 158 行.
[ 2013-12-18T16:10:14+08:00 ] /skybroad/index.php/Admin/Advert/update | NOTIC: [8] Use of undefined constant image_type_to_extension - assumed 'image_type_to_extension' Image.class.php 第 46 行.
[ 2013-12-18T16:10:14+08:00 ] /skybroad/index.php/Admin/Advert/update | NOTIC: [8] Undefined offset:  1 UploadFile.class.php 第 166 行.
[ 2013-12-18T16:10:14+08:00 ] /skybroad/index.php/Admin/Advert/update | NOTIC: [8] Use of undefined constant image_type_to_extension - assumed 'image_type_to_extension' Image.class.php 第 46 行.
[ 2013-12-18T16:10:14+08:00 ] /skybroad/index.php/Admin/Advert/update | NOTIC: [2] md5_file(Public/data/upload/images/advert/52b158668e4c9.jpg) [<a href='function.md5-file'>function.md5-file</a>]: failed to open stream: No such file or directory UploadFile.class.php 第 243 行.
[ 2013-12-18T16:10:14+08:00 ] /skybroad/index.php/Admin/Advert/update | NOTIC: [8] Undefined index:  three_category_id AdminAction.class.php 第 623 行.
[ 2013-12-18T16:10:14+08:00 ] /skybroad/index.php/Admin/Advert/update | NOTIC: [8] Undefined index:  two_category_id AdminAction.class.php 第 625 行.
[ 2013-12-18T16:10:14+08:00 ] /skybroad/index.php/Admin/Advert/update | SQL: UPDATE `m_advert` SET `title`='首页广告2',`net_image`='',`url`='',`is_publish`='1',`image`='52b158668e4c9.jpg',`width`=600,`height`=300,`category_id`='18010',`update_time`=1387354214,`create_time`=1387354214,`begin_time`=1387354214,`end_time`=1387354214 WHERE ( `id` = '48' ) [ RunTime:0.000471s ]
[ 2013-12-18T16:10:18+08:00 ] /skybroad/index.php/Admin/Advert/index/cid/18010/mid/11 | SQL: SHOW COLUMNS FROM `m_advert` [ RunTime:0.001654s ]
[ 2013-12-18T16:10:18+08:00 ] /skybroad/index.php/Admin/Advert/index/cid/18010/mid/11 | NOTIC: [8] Undefined index:  rowpage AdminAction.class.php 第 357 行.
[ 2013-12-18T16:10:18+08:00 ] /skybroad/index.php/Admin/Advert/index/cid/18010/mid/11 | NOTIC: [8] Undefined index:  searchKey AdminAction.class.php 第 358 行.
[ 2013-12-18T16:10:18+08:00 ] /skybroad/index.php/Admin/Advert/index/cid/18010/mid/11 | SQL: SELECT COUNT(*) AS tp_count FROM `m_advert` WHERE ( category_id like '18010%' ) LIMIT 1  [ RunTime:0.000299s ]
[ 2013-12-18T16:10:18+08:00 ] /skybroad/index.php/Admin/Advert/index/cid/18010/mid/11 | SQL: SELECT * FROM `m_advert` WHERE ( category_id like '18010%' ) ORDER BY `id` desc LIMIT 0,12  [ RunTime:0.000301s ]
[ 2013-12-18T16:10:18+08:00 ] /skybroad/index.php/Admin/Advert/index/cid/18010/mid/11 | NOTIC: [2048] Creating default object from empty value CommonAction.class.php 第 52 行.
[ 2013-12-18T16:10:18+08:00 ] /skybroad/index.php/Admin/Advert/index/cid/18010/mid/11 | SQL: SHOW COLUMNS FROM `m_categorys` [ RunTime:0.001620s ]
[ 2013-12-18T16:10:18+08:00 ] /skybroad/index.php/Admin/Advert/index/cid/18010/mid/11 | SQL: SELECT * FROM `m_categorys` WHERE id=18010 LIMIT 1  [ RunTime:0.000249s ]
[ 2013-12-18T16:10:18+08:00 ] /skybroad/index.php/Admin/Advert/index/cid/18010/mid/11 | SQL: SHOW COLUMNS FROM `m_modelconfig` [ RunTime:0.000816s ]
[ 2013-12-18T16:10:18+08:00 ] /skybroad/index.php/Admin/Advert/index/cid/18010/mid/11 | SQL: SELECT `modelname` FROM `m_modelconfig` WHERE id=11 LIMIT 1  [ RunTime:0.000208s ]
[ 2013-12-18T16:10:18+08:00 ] /skybroad/index.php/Admin/Advert/index/cid/18010/mid/11 | SQL: SELECT * FROM `m_categorys` WHERE id=180 LIMIT 1  [ RunTime:0.000192s ]
[ 2013-12-18T16:10:18+08:00 ] /skybroad/index.php/Admin/Advert/index/cid/18010/mid/11 | SQL: SELECT `title` FROM `m_categorys` WHERE ( `id` = '18010' ) LIMIT 1  [ RunTime:0.000218s ]
[ 2013-12-18T16:10:18+08:00 ] /skybroad/index.php/Admin/Advert/index/cid/18010/mid/11 | SQL: SELECT `title` FROM `m_categorys` WHERE ( `id` = '18010' ) LIMIT 1  [ RunTime:0.000181s ]
[ 2013-12-18T16:10:20+08:00 ] /skybroad/index.php/Admin/Advert/edit/id/48/mid/11/cid/18010 | SQL: SHOW COLUMNS FROM `m_advert` [ RunTime:0.001300s ]
